Itemset,Support
"('Longitude 6', 'Magnitude 43')",3294
"('Latitude 148', 'Longitude 6', 'Magnitude 43')",3095
"('Latitude 148', 'Magnitude 43')",3374
"('Magnitude 43', 'Year 41')",4864
"('Magnitude 43', 'Magnitude Type ML', 'Year 41')",4295
"('Magnitude 43', 'Magnitude Type ML')",14916
"('Depth 8', 'Year 8')",3154
"('Depth 8', 'Year 41')",4504
"('Depth 8', 'Magnitude Type ML', 'Year 41')",3351
"('Depth 8', 'Magnitude Type ML')",13589
"('Longitude 53', 'Year 33')",3070
"('Longitude 53', 'Magnitude Type ML', 'Year 33')",3032
"('Latitude 178', 'Longitude 53')",3156
"('Latitude 178', 'Longitude 53', 'Magnitude Type ML')",3126
"('Longitude 53', 'Year 8')",3446
"('Longitude 53', 'Magnitude Type ML', 'Year 8')",3393
"('Longitude 53', 'Year 0')",3712
"('Longitude 53', 'Magnitude Type ML', 'Year 0')",3646
"('Longitude 53', 'Magnitude Type ML')",17875
"('Latitude 148', 'Magnitude 38')",3028
"('Magnitude 38', 'Year 8')",3032
"('Magnitude 38', 'Year 41')",4135
"('Magnitude 38', 'Magnitude Type ML', 'Year 41')",3319
"('Magnitude 38', 'Magnitude Type ML')",14273
"('Region Name WESTERN TURKEY', 'Year 33')",3181
"('Magnitude Type ML', 'Region Name WESTERN TURKEY', 'Year 33')",3149
"('Region Name WESTERN TURKEY', 'Year 24')",3218
"('Magnitude Type ML', 'Region Name WESTERN TURKEY', 'Year 24')",3203
"('Magnitude 31', 'Region Name WESTERN TURKEY')",3250
"('Magnitude 31', 'Magnitude Type ML', 'Region Name WESTERN TURKEY')",3243
"('Region Name WESTERN TURKEY', 'Year 8')",3546
"('Magnitude Type ML', 'Region Name WESTERN TURKEY', 'Year 8')",3495
"('Latitude 178', 'Region Name WESTERN TURKEY')",3656
"('Latitude 178', 'Magnitude Type ML', 'Region Name WESTERN TURKEY')",3631
"('Depth 12', 'Region Name WESTERN TURKEY')",3993
"('Depth 12', 'Magnitude Type ML', 'Region Name WESTERN TURKEY')",3974
"('Region Name WESTERN TURKEY', 'Year 0')",4639
"('Magnitude Type ML', 'Region Name WESTERN TURKEY', 'Year 0')",4620
"('Longitude 54', 'Region Name WESTERN TURKEY')",9212
"('Longitude 54', 'Magnitude Type ML', 'Region Name WESTERN TURKEY')",9162
"('Magnitude Type ML', 'Region Name WESTERN TURKEY')",18435
"('Longitude 6', 'Magnitude 36', 'Region Name ISLAND OF HAWAII, HAWAII')",3209
"('Latitude 148', 'Longitude 6', 'Magnitude 36', 'Region Name ISLAND OF HAWAII, HAWAII')",3078
"('Latitude 148', 'Magnitude 36')",3342
"('Latitude 148', 'Longitude 6', 'Magnitude 36')",3172
"('Longitude 6', 'Magnitude 36')",3391
"('Longitude 54', 'Magnitude 36')",3466
"('Longitude 54', 'Magnitude 36', 'Magnitude Type ML')",3465
"('Magnitude 36', 'Year 24')",3518
"('Magnitude 36', 'Year 33')",3564
"('Magnitude 36', 'Magnitude Type ML', 'Year 33')",3050
"('Magnitude 36', 'Year 41')",4683
"('Magnitude 36', 'Magnitude Type ML', 'Year 41')",3531
"('Magnitude 36', 'Magnitude Type ML')",15741
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3430
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3429
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3435
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3438
"('Depth 6', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3805
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3804
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3816
"('Depth 6', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3819
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28')",3437
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Year 41')",3429
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 28', 'Year 41')",3808
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 28')",3823
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 28')",3441
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Year 41')",3431
"('Depth 6', 'Longitude 6', 'Month 28', 'Year 41')",3810
"('Depth 6', 'Month 28', 'Year 41')",3893
"('Depth 6', 'Magnitude Type ML', 'Month 28', 'Year 41')",3484
"('Depth 6', 'Magnitude Type ML', 'Month 28')",4080
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33')",4186
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",4185
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",4179
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",4188
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",4180
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 33')",4189
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Year 41')",4180
"('Depth 6', 'Magnitude Type ML', 'Month 33', 'Year 41')",4243
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 33')",4822
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",4821
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",4806
"('Depth 6', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",4826
"('Depth 6', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",4808
"('Depth 6', 'Longitude 6', 'Month 33')",4829
"('Depth 6', 'Longitude 6', 'Month 33', 'Year 41')",4808
"('Depth 6', 'Month 33', 'Year 41')",4908
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",8632
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",8627
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII')",8760
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII')",8774
"('Depth 6', 'Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",9963
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",9954
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII')",10166
"('Depth 6', 'Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII')",10188
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML')",8789
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Year 41')",8647
"('Depth 6', 'Latitude 148', 'Year 41')",10012
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Year 41')",10011
"('Depth 6', 'Latitude 148', 'Longitude 6')",10235
"('Depth 6', 'Longitude 6', 'Magnitude Type ML')",8815
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Year 41')",8658
"('Depth 6', 'Longitude 6', 'Year 41')",10053
"('Depth 6', 'Year 41')",11698
"('Depth 6', 'Magnitude Type ML', 'Year 41')",9896
"('Depth 6', 'Magnitude Type ML')",16284
"('Latitude 178', 'Year 24')",3232
"('Latitude 178', 'Year 16')",3451
"('Latitude 178', 'Magnitude Type ML', 'Year 16')",3162
"('Latitude 178', 'Year 0')",4226
"('Latitude 178', 'Magnitude Type ML', 'Year 0')",4129
"('Latitude 178', 'Year 33')",4356
"('Latitude 178', 'Magnitude Type ML', 'Year 33')",3872
"('Latitude 178', 'Longitude 54')",5543
"('Latitude 178', 'Longitude 54', 'Magnitude Type ML')",5511
"('Latitude 178', 'Magnitude Type ML')",18048
"('Depth 12', 'Year 16')",3374
"('Depth 12', 'Year 8')",3405
"('Depth 12', 'Year 0')",3433
"('Depth 12', 'Magnitude Type ML', 'Year 0')",3332
"('Depth 12', 'Year 24')",3564
"('Depth 12', 'Year 33')",3850
"('Depth 12', 'Longitude 54')",4046
"('Depth 12', 'Longitude 54', 'Magnitude Type ML')",4024
"('Depth 12', 'Magnitude Type ML')",15776
"('Longitude 54', 'Magnitude 31')",3942
"('Longitude 54', 'Magnitude 31', 'Magnitude Type ML')",3940
"('Magnitude 31', 'Year 24')",3999
"('Magnitude 31', 'Year 41')",4263
"('Magnitude 31', 'Year 33')",4411
"('Magnitude 31', 'Magnitude Type ML', 'Year 33')",3700
"('Magnitude 31', 'Magnitude Type ML')",17310
"('Longitude 6', 'Magnitude 33', 'Region Name ISLAND OF HAWAII, HAWAII')",3457
"('Latitude 148', 'Longitude 6', 'Magnitude 33', 'Region Name ISLAND OF HAWAII, HAWAII')",3336
"('Latitude 148', 'Magnitude 33')",3584
"('Latitude 148', 'Longitude 6', 'Magnitude 33')",3440
"('Longitude 6', 'Magnitude 33')",3682
"('Longitude 6', 'Magnitude 33', 'Year 41')",3042
"('Longitude 54', 'Magnitude 33')",3776
"('Longitude 54', 'Magnitude 33', 'Magnitude Type ML')",3775
"('Magnitude 33', 'Year 24')",3941
"('Magnitude 33', 'Year 33')",4265
"('Magnitude 33', 'Magnitude Type ML', 'Year 33')",3509
"('Magnitude 33', 'Year 41')",5151
"('Magnitude 33', 'Magnitude Type ML', 'Year 41')",3641
"('Magnitude 33', 'Magnitude Type ML')",17116
"('Month 50', 'Year 8')",3023
"('Month 50', 'Year 16')",3398
"('Magnitude Type mb', 'Month 50')",3937
"('Month 50', 'Year 33')",4050
"('Month 50', 'Year 41')",4319
"('Month 50', 'Year 24')",4773
"('Magnitude Type ML', 'Month 50')",13793
"('Month 61', 'Year 8')",3161
"('Month 61', 'Year 16')",3615
"('Month 61', 'Year 33')",3762
"('Magnitude Type mb', 'Month 61')",3843
"('Month 61', 'Year 24')",4273
"('Month 61', 'Year 41')",4959
"('Magnitude Type ML', 'Month 61')",13927
"('Month 45', 'Year 8')",3056
"('Month 45', 'Year 0')",3126
"('Month 45', 'Year 41')",3726
"('Month 45', 'Year 16')",3850
"('Magnitude Type mb', 'Month 45')",4092
"('Month 45', 'Year 33')",4186
"('Month 45', 'Year 24')",4764
"('Magnitude Type ML', 'Month 45')",13633
"('Month 16', 'Year 0')",3085
"('Month 16', 'Year 16')",3292
"('Month 16', 'Year 41')",3916
"('Month 16', 'Year 24')",4080
"('Magnitude Type mb', 'Month 16')",4105
"('Month 16', 'Year 8')",4365
"('Month 16', 'Year 33')",4695
"('Magnitude Type ML', 'Month 16', 'Year 33')",3027
"('Magnitude Type ML', 'Month 16')",14318
"('Month 39', 'Year 0')",3157
"('Month 39', 'Year 8')",3202
"('Magnitude Type mb', 'Month 39')",3821
"('Month 39', 'Year 33')",4213
"('Month 39', 'Year 24')",4349
"('Month 39', 'Year 41')",5671
"('Magnitude Type ML', 'Month 39', 'Year 41')",3261
"('Magnitude Type ML', 'Month 39')",15016
"('Depth 18', 'Month 56')",3060
"('Month 56', 'Year 8')",3471
"('Month 56', 'Year 16')",3900
"('Magnitude Type mb', 'Month 56')",4030
"('Month 56', 'Year 33')",4061
"('Month 56', 'Year 41')",4683
"('Month 56', 'Year 24')",4723
"('Magnitude Type ML', 'Month 56')",14942
"('Month 11', 'Year 0')",3164
"('Month 11', 'Year 24')",3383
"('Month 11', 'Year 41')",3895
"('Magnitude Type mb', 'Month 11')",3983
"('Month 11', 'Year 8')",4245
"('Month 11', 'Year 33')",4794
"('Magnitude Type ML', 'Month 11', 'Year 33')",3132
"('Magnitude Type ML', 'Month 11')",15135
"('Month 22', 'Year 16')",3288
"('Longitude 6', 'Month 22')",3358
"('Latitude 148', 'Longitude 6', 'Month 22')",3039
"('Month 22', 'Year 0')",3393
"('Latitude 148', 'Month 22')",3645
"('Month 22', 'Year 8')",3720
"('Magnitude Type mb', 'Month 22')",3811
"('Month 22', 'Year 24')",4197
"('Month 22', 'Year 33')",4422
"('Month 22', 'Year 41')",6490
"('Magnitude Type ML', 'Month 22', 'Year 41')",3723
"('Magnitude Type ML', 'Month 22')",15932
"('Depth 18', 'Month 5')",3310
"('Longitude 54', 'Month 5')",3321
"('Longitude 54', 'Magnitude Type ML', 'Month 5')",3279
"('Month 5', 'Year 24')",3446
"('Month 5', 'Year 8')",3690
"('Magnitude Type mb', 'Month 5')",4137
"('Month 5', 'Year 41')",4141
"('Month 5', 'Year 33')",4864
"('Magnitude Type ML', 'Month 5', 'Year 33')",3440
"('Magnitude Type ML', 'Month 5')",15448
"('Month 0', 'Year 16')",3108
"('Month 0', 'Year 24')",3428
"('Depth 18', 'Month 0')",3615
"('Magnitude Type mb', 'Month 0')",4034
"('Month 0', 'Year 33')",4203
"('Month 0', 'Year 8')",4363
"('Month 0', 'Year 41')",4685
"('Magnitude Type ML', 'Month 0')",16549
"('Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",8034
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",7994
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",8099
"('Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",8156
"('Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",9023
"('Latitude 148', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",8971
"('Latitude 148', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",9180
"('Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",9261
"('Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",9617
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",9571
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",9687
"('Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",9772
"('Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",11091
"('Latitude 148', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",11024
"('Latitude 148', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",11224
"('Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",11349
"('Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",21115
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",20866
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII')",22309
"('Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII')",22795
"('Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",24930
"('Latitude 148', 'Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",24576
"('Latitude 148', 'Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII')",27191
"('Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII')",27976
"('Month 28', 'Year 0')",3055
"('Month 28', 'Year 8')",3130
"('Longitude 54', 'Month 28')",3381
"('Longitude 54', 'Magnitude Type ML', 'Month 28')",3327
"('Magnitude Type mb', 'Month 28')",3497
"('Month 28', 'Year 24')",3912
"('Month 28', 'Year 33')",4163
"('Longitude 6', 'Magnitude Type ML', 'Month 28', 'Year 41')",8070
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Year 41')",8011
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28')",8135
"('Longitude 6', 'Month 28', 'Year 41')",9082
"('Latitude 148', 'Longitude 6', 'Month 28', 'Year 41')",9007
"('Latitude 148', 'Longitude 6', 'Month 28')",9272
"('Latitude 148', 'Magnitude Type ML', 'Month 28')",8174
"('Latitude 148', 'Magnitude Type ML', 'Month 28', 'Year 41')",8027
"('Latitude 148', 'Month 28', 'Year 41')",9073
"('Month 28', 'Year 41')",12156
"('Magnitude Type ML', 'Month 28', 'Year 41')",9535
"('Magnitude Type ML', 'Month 28')",21088
"('Longitude 6', 'Magnitude Type ML', 'Month 33', 'Year 41')",9638
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Year 41')",9577
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33')",9710
"('Longitude 6', 'Month 33', 'Year 41')",11126
"('Latitude 148', 'Longitude 6', 'Month 33', 'Year 41')",11040
"('Latitude 148', 'Longitude 6', 'Month 33')",11264
"('Longitude 6', 'Magnitude Type ML', 'Year 41')",21652
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Year 41')",21162
"('Latitude 148', 'Longitude 6', 'Magnitude Type ML')",22697
"('Longitude 6', 'Year 41')",25897
"('Latitude 148', 'Longitude 6', 'Year 41')",25152
"('Latitude 148', 'Longitude 6')",28010
"('Depth 18', 'Longitude 54')",3290
"('Depth 18', 'Longitude 54', 'Magnitude Type ML')",3130
"('Longitude 54', 'Year 24')",3527
"('Longitude 54', 'Magnitude Type ML', 'Year 24')",3486
"('Longitude 54', 'Year 16')",4235
"('Longitude 54', 'Magnitude Type ML', 'Year 16')",4154
"('Longitude 54', 'Year 8')",5382
"('Longitude 54', 'Magnitude Type ML', 'Year 8')",5294
"('Longitude 54', 'Year 0')",6399
"('Longitude 54', 'Magnitude Type ML', 'Year 0')",6309
"('Longitude 54', 'Year 33')",8733
"('Longitude 54', 'Magnitude Type ML', 'Year 33')",8624
"('Longitude 54', 'Magnitude Type ML')",30075
"('Month 33', 'Year 16')",3243
"('Magnitude Type mb', 'Month 33')",3719
"('Month 33', 'Year 24')",4135
"('Month 33', 'Year 33')",4208
"('Latitude 148', 'Magnitude Type ML', 'Month 33')",9793
"('Latitude 148', 'Magnitude Type ML', 'Month 33', 'Year 41')",9625
"('Latitude 148', 'Month 33', 'Year 41')",11149
"('Month 33', 'Year 41')",14545
"('Magnitude Type ML', 'Month 33', 'Year 41')",11261
"('Magnitude Type ML', 'Month 33')",22300
"('Depth 18', 'Year 16')",4230
"('Depth 18', 'Year 0')",4278
"('Depth 18', 'Year 8')",4467
"('Depth 18', 'Year 24')",5793
"('Depth 18', 'Year 33')",6690
"('Depth 18', 'Magnitude Type ML', 'Year 33')",3204
"('Depth 18', 'Year 41')",7495
"('Depth 18', 'Magnitude Type mb')",11712
"('Depth 18', 'Magnitude Type ML')",16036
"('Latitude 148', 'Magnitude Type ML')",23432
"('Latitude 148', 'Magnitude Type ML', 'Year 41')",21480
"('Latitude 148', 'Year 41')",26000
"('Magnitude Type mb', 'Year 0')",5587
"('Magnitude Type ML', 'Year 0')",28301
"('Magnitude Type mb', 'Year 16')",7548
"('Magnitude Type ML', 'Year 16')",25881
"('Magnitude Type mb', 'Year 8')",6565
"('Magnitude Type ML', 'Year 8')",28001
"('Magnitude Type mb', 'Year 33')",8289
"('Magnitude Type mb', 'Year 24')",8770
"('Magnitude Type mb', 'Year 41')",8937
"('Year 24',)",49463
"('Magnitude Type ML', 'Year 24')",27586
"('Year 33',)",51621
"('Magnitude Type ML', 'Year 33')",32155
"('Year 41',)",73186
"('Magnitude Type ML', 'Year 41')",46018
"('Magnitude Type ML',)",192081
